2012-09-04,,62,3,26600,192,29
2012-09-04,,62,3,26600,192,29
2012-09-04,JetBrains,21,1,6800,26,29
2012-09-04,JetBrains,21,1,6800,26,29
2012-09-04,,48,3,26900,345,25
2012-09-04,,48,3,26900,345,25
2012-09-04,,48,5,27100,216,24
2012-09-04,,44,4,12900,95,23
2012-09-04,,44,4,12900,95,23
2012-09-04,,44,4,12900,95,23
2012-09-04,,11,5,10700,2,23
2012-09-04,,25,7,14000,185,22
2012-09-04,,25,7,14000,185,22
2012-09-04,,21,0,25200,152,22
2012-09-04,,21,0,25200,152,22
2012-09-04,,21,0,25200,152,22
2012-09-04,,45,4,26800,279,21
2012-09-04,,11,19,4000,4,21
2012-09-04,,27,1,19000,152,20
2012-09-04,,27,1,19000,152,20
2012-09-04,,18,1,4100,94,19
2012-09-04,,64,26,5600,55,18
2012-09-04,,14,33,3400,17,17
2012-09-04,,14,33,3400,17,17
2012-09-04,,25,8,55100,287,15
2012-09-04,,26,3,13800,162,14
2012-09-04,,20,6,5200,42,13
2012-09-04,,21,1,15600,99,12
2012-09-04,,21,1,15600,99,12
2012-09-04,,21,1,15600,99,12
2012-09-04,,5,2,18600,35,8
2012-09-04,,5,2,18600,35,8
2012-09-04,microsoft,13,7,2900,17,7
2012-09-04,microsoft,13,7,2900,17,7
2012-09-04,,19,0,8200,38,6
2012-09-04,,19,0,8200,38,6
2012-09-04,,8,4,17300,31,6
2012-09-04,,8,4,17300,31,6
2012-09-04,,8,4,17300,31,6
2012-09-04,,15,1,2100,43,5
2012-09-04,,15,1,2100,43,5
2012-09-04,,8,2,6800,24,4
2012-09-04,,23,2,38200,148,3
2012-09-04,,23,2,38200,148,3
2012-09-04,,6,1,5500,21,2
2012-09-04,,6,1,9800,73,1
2012-09-04,netwrix,2,2,896,3,1
2012-09-04,,11,0,10400,78,0
2012-09-04,,11,0,10400,78,0
2012-09-04,,11,0,10400,78,0
2012-09-05,,180,6,396000,1760,322
2012-09-05,,45,32,27900,34,315
