2008-01-01,,1,0,252,1,1
2008-01-01,,0,0,171,0,0
2008-01-02,,72,3,4000,36,102
2008-01-02,,9,2,139,1,22
2008-01-03,,17,20,96,1,64
2008-01-03,,21,3,124,2,23
2008-01-03,,2,0,291,1,6
2008-01-04,,33,5,481,3,177
2008-01-04,,29,7,2700,21,154
2008-01-04,,25,14,968,1,105
2008-01-04,,15,11,93,0,83
2008-01-04,,47,1,1,3,71
2008-01-04,,12,13,119,0,37
2008-01-04,,24,2,643,31,19
2008-01-04,,29,12,236,0,19
2008-01-04,,6,11,115,0,10
2008-01-04,,15,10,123,1,2
2008-01-04,,10,8,125,0,2
2008-01-05,,7,7,266,1,44
2008-01-05,,45,9,12500,26,36
2008-01-05,,8,5,503,2,18
2008-01-05,,6,3,107,0,6
2008-01-06,,70,4,23400,228,89
2008-01-06,,34,4,3200,53,30
2008-01-06,,32,3,1400,38,19
2008-01-07,,49,31,595,11,397
2008-01-07,,38,15,409,6,360
2008-01-07,,35,9,160,13,115
2008-01-07,,44,11,4700,18,67
2008-01-07,,31,6,283,54,39
2008-01-07,,43,0,455,27,34
2008-01-07,,34,3,205,4,32
2008-01-07,,21,1,1,3,24
2008-01-07,,9,3,265,3,17
2008-01-07,,8,3,127,0,14
2008-01-07,,16,1,1400,23,3
2008-01-07,,0,1,151,0,0
2008-01-08,,37,4,4100,118,120
2008-01-08,,18,18,9300,5,76
2008-01-08,,31,1,141,4,44
2008-01-08,,30,6,124,3,35
2008-01-08,,12,2,1800,6,26
2008-01-08,,10,0,183,0,10
2008-01-09,,41,2,207,2,137
2008-01-09,,53,5,534,53,91
2008-01-09,,37,13,3600,65,78
2008-01-09,,16,2,135,1,70
2008-01-09,,22,3,238,18,30
2008-01-09,,4,2,268,5,7
2008-01-09,,4,8,137,3,6
2008-01-09,,3,3,320,10,4
2008-01-09,,2,1,145,0,3
2008-01-09,,6,2,139,0,0
2008-01-10,,47,10,917,21,318
2008-01-10,,26,3,153,8,115
2008-01-10,,20,14,123,0,84
2008-01-10,,54,5,993,63,54
2008-01-10,,33,2,602,90,50
2008-01-10,,3,0,187,3,39
2008-01-10,,12,0,313,1,24
2008-01-10,,16,2,163,22,12
2008-01-10,,5,9,175,1,9
2008-01-10,,8,3,149,0,5
2008-01-11,,40,0,223,3,150
2008-01-11,,27,10,126,1,97
2008-01-11,,20,3,4100,11,89
2008-01-11,,47,2,1800,40,80
2008-01-11,,54,5,184,4,73
2008-01-11,,18,6,2800,58,72
2008-01-11,,43,1,923,27,53
2008-01-11,,15,3,93,1,50
2008-01-11,,75,4,946,128,45
2008-01-11,,33,5,305,15,36
2008-01-11,,4,1,120,3,6
2008-01-11,,7,10,119,0,0
2008-01-12,,34,10,415,11,172
2008-01-12,,33,18,228,12,170
2008-01-12,,54,4,208,5,86
2008-01-12,,28,9,116,4,45
2008-01-12,,53,7,19200,102,40
2008-01-12,,11,6,474,25,39
2008-01-12,,24,11,81,1,33
2008-01-12,,26,4,14500,61,31
2008-01-12,,5,3,132,4,13
2008-01-12,,4,0,186,3,2
2008-01-13,,25,0,116,22,63
2008-01-13,,54,8,436,37,45
2008-01-13,,9,2,201,1,12
2008-01-13,,4,6,165,0,4
2008-01-14,,157,10,25800,276,386
2008-01-14,,23,8,570,6,178
2008-01-14,,77,6,13700,38,169
2008-01-14,,29,3,2400,64,164
2008-01-14,,16,4,115,0,86
2008-01-14,,33,9,1100,66,76
2008-01-14,,36,2,750,82,68
2008-01-14,,29,0,26700,127,60
2008-01-14,,36,2,17200,178,40
2008-01-14,,36,4,223,21,27
2008-01-14,,29,4,1300,62,23
2008-01-14,,26,5,577,7,17
2008-01-14,,9,4,816,1,12
2008-01-14,,2,14,144,0,12
2008-01-14,,6,10,287,2,8
2008-01-14,,6,16,136,2,5
2008-01-15,,38,27,493,1,290
2008-01-15,,35,20,1200,13,221
2008-01-15,,37,5,134,8,91
2008-01-15,,36,5,1,6,70
2008-01-15,,36,5,1,6,70
2008-01-15,,92,3,4300,173,57
2008-01-15,,22,4,163,1,53
2008-01-15,,30,5,192,9,30
2008-01-15,,11,4,945,32,23
2008-01-15,,49,15,184,0,23
2008-01-15,,6,4,92,1,5
2008-01-15,,2,4,107,0,4
2008-01-15,,6,4,111,0,2
2008-01-15,,6,1,163,4,1
2008-01-15,,0,0,50,0,0
2008-01-16,,78,2,586,10,180
2008-01-16,,162,6,2100,39,105
2008-01-16,,20,5,1,2,51
2008-01-16,,25,12,211,3,47
2008-01-16,,33,3,109,4,40
2008-01-16,,34,4,782,31,39
2008-01-16,,9,3,129,9,12
2008-01-16,,22,4,154,3,11
2008-01-16,,10,5,123,4,9
2008-01-16,,0,2,136,0,8
2008-01-16,,0,0,225,0,5
2008-01-16,,5,1,970,1,3
2008-01-17,,45,13,383,14,207
2008-01-17,,69,13,130,24,94
2008-01-17,,49,7,718,4,69
2008-01-17,,15,0,725,23,55
2008-01-17,,40,2,2400,84,49
2008-01-17,,32,2,600,18,44
2008-01-17,,33,2,167,9,42
2008-01-17,,78,10,114,9,40
2008-01-17,,45,1,3200,54,16
2008-01-17,,6,4,228,1,6
2008-01-17,,5,3,257,0,5
2008-01-17,,3,3,105,0,1
2008-01-18,,24,18,226,36,121
2008-01-18,,18,5,9700,10,80
2008-01-18,,35,2,26700,41,69
2008-01-18,,29,7,124,0,68
2008-01-18,,41,4,151,3,29
2008-01-18,,9,3,128,9,23
2008-01-18,,17,2,181,9,14
2008-01-18,,12,5,122,0,11
2008-01-18,,0,0,1600,2,8
2008-01-18,,13,2,387,0,8
2008-01-19,,103,6,2900,235,140
2008-01-19,,56,12,251,89,135
2008-01-19,,47,5,644,16,108
2008-01-19,,22,12,231,39,27
2008-01-19,,1,1,2300,0,18
2008-01-19,,9,1,249,0,13
2008-01-19,,26,3,5400,55,12
2008-01-19,,5,3,161,0,3
2008-01-19,,3,4,173,0,2
2008-01-20,,35,7,3000,16,343
2008-01-20,,29,2,109,0,137
2008-01-20,,53,10,934,79,134
2008-01-20,,48,2,139,2,93
2008-01-20,,39,14,161,3,67
2008-01-20,,40,6,632,5,61
2008-01-20,,30,10,228,62,26
2008-01-20,,24,3,220,47,26
2008-01-20,,11,9,670,13,20
2008-01-20,,6,2,203,0,9
2008-01-20,,0,0,19600,21,0
2008-01-21,,33,1,128,3,75
2008-01-21,,37,11,117,4,66
2008-01-21,,41,4,1000,59,61
2008-01-21,,39,5,341,66,56
2008-01-21,,40,4,158,5,48
2008-01-21,,54,12,203,1,33
2008-01-21,,18,5,197,12,32
2008-01-21,,22,2,291,43,30
2008-01-21,,22,2,289,5,30
2008-01-21,,4,11,376,14,25
2008-01-21,,29,6,118,3,23
2008-01-21,,22,1,226,8,22
2008-01-21,,11,3,2200,7,15
2008-01-21,,8,2,143,2,5
2008-01-21,,5,13,133,0,4
2008-01-21,,13,1,261,2,3
2008-01-22,,57,14,327,48,154
2008-01-22,,22,5,584,5,111
2008-01-22,,45,20,289,5,108
2008-01-22,,30,10,12500,58,79
2008-01-22,,41,7,231,20,78
2008-01-22,,26,16,238,3,75
2008-01-22,,55,1,1500,31,53
2008-01-22,,35,3,142,3,50
2008-01-22,,25,7,120,5,46
2008-01-22,,15,10,2400,25,45
2008-01-22,,20,2,139,1,35
2008-01-22,,6,6,259,0,34
2008-01-22,,22,1,430,1,20
2008-01-22,,7,8,291,0,6
2008-01-22,,0,0,134,0,0
2008-01-23,,32,9,518,10,60
2008-01-23,,13,9,164,0,18
2008-01-23,,11,6,350,1,6
2008-01-24,,26,8,191,2,178
2008-01-24,,121,10,453,8,172
2008-01-24,,73,3,1,14,142
2008-01-24,,40,2,1,11,138
2008-01-24,,17,0,3900,26,70
2008-01-24,,15,10,266,7,67
